Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,     23,    23,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteTrazabilidad_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@2f56cd86.as(iqi.112cee47-d877-414a-80fa-444393fa9201)
     1,     30,    30,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.311.html)"
     1,     87,    87,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, WSUNOEESoapProxy_java.html)"
     1,     48,    48,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.15.html)"
     1,     77,    77,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, confirmacionPago_properties.html)"
     1,     80,    80,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.358.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Integration (embedded)).as(default)"
     1, 330319, 330319,00, FernflowerDecompilationOperation.perform
     1,     31,    31,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, respuestaDescuentoTaller_properties.50.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(ddf7d5ab-21a6-4de8-9414-c677dbed384e)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KumuluzEE JTA (embedded)).as(default)"
     2,    114,    57,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JspSourceFileModel).as(default)
     1,     89,    89,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JsfSourceFileModel).as(default)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@2ba427d4.as(iqi.7dc9766c-05fb-4778-82d5-38dfabec4a0e)
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,LevelDB Client).as(default)"
     1,     34,    34,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, formatoOrigenFondosMsg_properties.html)"
     1,     32,    32,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TCRMServicesInterface_java.html)"
     1,     59,    59,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pagoProveedor_properties.html)"
     1,    249,   249,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, depreciacion_properties.html)"
     1,     67,    67,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.271.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@a90f31d.as(iqi.0c6e4dc4-869b-4c9f-a375-3480ea407134)
     1,     27,    27,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.354.html)"
     1,     73,    73,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, security_en_US_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@445a0ca7.as(iqi.e38f259c-e666-44dc-9884-fedfb29ce087)
     1,     31,    31,00, "FreeMarkerIterationOperation.render(/reports/templates/dependency_graph.ftl, dependency_graph_report.html)"
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, marcaAf_properties.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.204.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@5213836b.as(iqi.968e89e2-57a8-43ef-a548-d69ed82f9b61)
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBossMQ Client (embedded)).as(default)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tipoAspiracion_properties.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Data (embedded)).as(default)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@236d4caa.as(iqi.8e0298c8-1eac-490b-9abf-138b18631173)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@19352a49.as(iqi.a680fe4c-e16f-4344-9c7c-fcec67fae209)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Velocity (embedded)).as(default)"
     1,     61,    61,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.417.html)"
     1,     41,    41,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteTecnico_properties.html)"
     1,     58,    58,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AdministracionOperaciones_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Axis (embedded)).as(default)"
     1,    321,   321,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.223.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Wicket (embedded)).as(default)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, IfxCryptoUtils_java.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OmniFaces (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(4b32eaa2-2fb5-46aa-8681-16ee445dca7c)"
     1,     66,    66,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteReclamos_properties.html)"
     1,     43,    43,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.168.html)"
     1,     44,    44,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.359.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(6e690031-8509-4266-acbe-da3674a34bd4)"
     1,     77,    77,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.316.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(20b92d47-f6cc-4079-ac3e-03b22bd0569e)"
     1,    116,   116,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, IfxDriver_java.html)"
     1,     45,    45,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.344.html)"
     1,     61,    61,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FileReaderRandomBackgroundGenerator_java.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Axion Driver).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(8bab94b5-a59d-4e38-86c8-ce9af06e6447)"
     1,    199,   199,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, creaSolicitudGara_properties.html)"
     1,     71,    71,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CaptchaModuleConfig_java.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SLF4J (embedded)).as(default)"
     1,    221,   221,00, Query.as(096ee1d3-c57b-49e7-9a64-5146bd58ddde)
     1,    127,   127,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SicsWS_properties.html)"
     1,     90,    90,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.227.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(c94ceed1-cddc-4aa8-9fc9-db0764f18468)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MongoDB Client).as(default)"
   167,     16,     0,10, sortDependencyArchivesByPathAscending
     1,     45,    45,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.337.html)"
     1,     38,    38,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.403.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@55a2104c.as(iqi.88d4226b-7838-4797-8bef-cf1e61f8bd59)
     1,     86,    86,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tablero_properties.html)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, planAccion_properties.79.html)"
     1,     72,    72,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ocl_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,CDI).as(default)"
     1,     28,    28,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.87.html)"
     1,     46,    46,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, respuestaPreasignarPlaca_properties.52.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@17e7219b.as(iqi.07199302-a358-441a-8f56-bac66922dbd7)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@4f178c11.as(iqi.fdf5cc3b-7505-49e8-b962-eb136111db7f)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Dagger (embedded)).as(default)"
     1,     69,    69,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, citaHorasTallerMsg_properties.html)"
     1,     48,    48,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.231.html)"
     1,     24,    24,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.CssFileModel).as(default)
     1,      5,     5,00, Query.fromType(org.jboss.windup.graph.model.WindupConfigurationModel).gremlin()org.jboss.windup.rules.apps.java.scan.provider.DiscoverFilesAndTypesRuleProvider$$Lambda$269/1851637805@5402a726.as(default)
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Demoiselle JTA (embedded)).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Tomcat (embedded)).as(default)"
     1,     77,    77,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.214.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Shiro (embedded)).as(default)"
     1,     75,    75,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteEjecucionOrdenCompra_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(c6fca7f2-384f-4914-90de-9eea4cd6fd99)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Drools (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(d64cf3c9-e2a3-4da8-9072-724ae04c926d)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(2db70b6c-5d18-466f-9c24-c4a20c9124bc)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.RemoteServiceModel).as(default)
     1,     37,    37,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.182.html)"
     1,     23,    23,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, crucetarjetas_properties.html)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ServiceSendSoap_java.html)"
     1,     91,    91,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, traccion_properties.html)"
     1,     75,    75,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,datasources).as(default)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Polyforms DI (embedded)).as(default)"
     1,     66,    66,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, rechazarCarpetaMatricula_properties.html)"
     1,   2829,  2829,00, Query.fromType(org.jboss.windup.graph.model.resource.FileModel).as(default)
     1,     60,    60,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.159.html)"
     1,     41,    41,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FishEyeFactory_java.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tipoMaquinaria_properties.11.html)"
     1,     73,    73,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.6.html)"
     1,     75,    75,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, marcacionSiniestroMsg_properties.html)"
     1,     91,    91,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, mayorDescuento_properties.html)"
     1,     61,    61,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.388.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@6afb876e.as(iqi.7fda1630-f872-444e-b278-804a7f92609c)
     1,     39,    39,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, destratesMsg_properties.html)"
     1,     43,    43,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,orion-ejb-jar).as(default)"
     1,    102,   102,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, solicitudTraslado_properties.html)"
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.426.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(7a863a63-3914-49a3-9674-d9baa7f6f2ca)"
   934,     51,     0,05, fileModelToSourceReport
    50,      0,     0,00, getEffortDescriptionForPoints
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KouInject (embedded)).as(default)"
     1,     38,    38,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.197.html)"
     1,      0,     0,00, sortApplicationsList
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cucumber (embedded)).as(default)"
     1,     86,    86,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteEstadosSolicitud_properties.html)"
     1,     46,    46,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.164.html)"
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.374.html)"
     1,     98,    98,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cuponcartera_properties.html)"
     1,    165,   165,00, "FreeMarkerIterationOperation.render(/reports/templates/jboss/jboss-web.ftl, SIGRU_ear/jboss-web.xml)"
     1,     35,    35,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, WSUNOEESoapStub_java.html)"
     1,     82,    82,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.121.html)"
     1,     46,    46,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteNetosAcumulado_properties.html)"
     1,     37,    37,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.154.html)"
     1,     45,    45,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, descuentoMostrador_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(5eafd2b8-8c00-4eb3-8e00-30db502a5a67)"
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, comisiones_properties.html)"
     1,     79,    79,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, UltimaMenu_java.html)"
     1,     61,    61,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteConfidencialCom_properties.html)"
     1,    104,   104,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, GimpySoundFactory_java.html)"
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.1.html)"
     1,     33,    33,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, evaluaciones_properties.75.html)"
     1,     43,    43,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,ejb-jar).has(fileName,EQUALS,jboss-ejb3.xml).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(ba50ac45-04eb-47f7-bc2a-0e39a1a3469c)"
     1,      8,     8,00, Query.as(458adca7-dabe-4a2d-bdcd-29d6a9ddaf8f)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@63457f47.as(iqi.f6994817-beb7-46ea-be8f-735202876ab1)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@52613fc4.as(iqi.6d5f3e01-681f-4934-9cde-60b904febf66)
     1,     34,    34,00, getNumberOfLibraries
     1,     68,    68,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.323.html)"
     1,    120,   120,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, diagnosticoDireccion_properties.html)"
     1,     37,    37,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SICOP_properties.51.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JayWire (embedded)).as(default)"
     1,     32,    32,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, marca_properties.html)"
     1,    108,   108,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, autorizacionFactura_properties.html)"
     1,    187,   187,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.73.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Unitils (embedded)).as(default)"
     1,     84,    84,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.297.html)"
   200,    648,     3,24, Classification.performParameterized
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@3f707465.as(iqi.579e8f25-0b7b-47e3-b11b-9115322ced4e)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@b633f09.as(iqi.a8b3b7e0-152e-46c2-a084-89d9b5906325)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(0b03d6fd-334a-460e-a0c6-d59e172312fd)"
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.215.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Injekt for Kotlin (embedded)).as(default)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@276da50a.as(iqi.5c10cb80-55aa-48f3-90c1-368a6bbbd1a7)
     1,    135,   135,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.155.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(bf44e65a-29cf-4b1b-82e6-2086c5fc8e3a)"
     1,     67,    67,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, evaluaciones_properties.html)"
     1,     34,    34,00, "FreeMarkerIterationOperation.render(/reports/templates/windupfreemarkerfunctions.ftl, windup_freemarkerfunctions.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Grapht DI (embedded)).as(default)"
     1,    162,   162,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.97.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(0d71bea8-4af8-466d-9ffe-18457d5815bc)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.280.html)"
     1,     21,    21,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ImpSoatWS_properties.55.html)"
     1,     29,    29,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DataBaseDP_java.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(0dcf607f-ff8d-4861-a88a-f3b4a8880c96)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mixer (embedded)).as(default)"
     1,     34,    34,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.379.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@7f9c1858.as(iqi.eeddbad7-7361-4488-a4ac-a57f96f90326)
     1,     23,    23,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cartaCumplimientoAlmacenamiento_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Java EE Batch).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Specsy (embedded)).as(default)"
     1,     89,    89,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.104.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Evo JTA (embedded)).as(default)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Ka DI (embedded)).as(default)"
     1,    172,   172,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.105.html)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cuponcartera_properties.10.html)"
     1,    108,   108,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AdministracionNegocios_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring MVC (embedded)).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Webmacro (embedded)).as(default)"
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, mensajesAval_properties.html)"
     1,     71,    71,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.265.html)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cargueErp_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(75ac7be9-7cdb-4132-893f-2d7b18d15f5a)"
     1,     43,    43,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.222.html)"
     1,     37,    37,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SICOP_properties.html)"
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, asignarDealerDealer_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@2b447322.as(iqi.073f1110-7401-4110-be7b-5576a40bbc0c)
     1,      1,     1,00, Query.fromType(org.jboss.windup.reporting.model.ApplicationReportModel).as(default)
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.383.html)"
     1,     65,    65,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CaptchaQuestionHelper_properties.html)"
     1,    113,   113,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, GenericManageableCaptchaService_java.html)"
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, asociarDocumentos_properties.html)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, crearContrato_properties.html)"
